,Ссылка,Всего услуг,"Полностью электронных, %успешных","Частично электронных, %успешных","Неэлектронных, %успешных",% успешных
Территориальный отдел по г. Архангельску агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15873@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по г. Мирному агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15864@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по г. Новодвинску агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15872@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по г. Северодвинску агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15867@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Каргопольскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15874@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Коношскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15862@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Няндомскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15861@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Онежскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15858@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Плесецкому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15871@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Приморскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15860@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Устьянскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15854@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Территориальный отдел по Холмогорскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15855@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное автономное учреждение Архангельской области ""Региональный центр по организации закупок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22387@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"ГБУЗ АО ""Архангельская областная клиническая больница""",https://gosuslugi29.ru/pgu/department/info.htm?id=16047@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное автономное профессиональное образовательное учреждение Архангельской области ""Архангельский медицинский колледж""",https://gosuslugi29.ru/pgu/department/info.htm?id=21491@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное автономное учреждение культуры Архангельской области «Архангельский театр кукол»,https://gosuslugi29.ru/pgu/department/info.htm?id=16649@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский колледж культуры и искусства»,https://gosuslugi29.ru/pgu/department/info.htm?id=16029@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский музыкальный колледж»,https://gosuslugi29.ru/pgu/department/info.htm?id=16032@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Государственное бюджетное учреждение Архангельской области ""Государственный Архив Архангельской области""",https://gosuslugi29.ru/pgu/department/info.htm?id=21235@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Государственное бюджетное учреждение культуры Архангельской области «Архангельская областная научная ордена «Знак Почета» библиотека имени Н. А. Добролюбова»,https://gosuslugi29.ru/pgu/department/info.htm?id=16645@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
