,name,link,total,failed,%
16034@egOrganization,"Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области ""Профессиональное училище № 1""",https://gosuslugi29.ru/pgu/department/info.htm?id=16034@egOrganization,0,0,100.00%
22217@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Ненецкое профессиональное училище».,https://gosuslugi29.ru/pgu/department/info.htm?id=22217@egOrganization,0,0,100.00%
16046@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональное  училище № 41»,https://gosuslugi29.ru/pgu/department/info.htm?id=16046@egOrganization,0,0,100.00%
16014@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональное училище № 12»,https://gosuslugi29.ru/pgu/department/info.htm?id=16014@egOrganization,0,0,100.00%
16039@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональное училище № 27»,https://gosuslugi29.ru/pgu/department/info.htm?id=16039@egOrganization,0,0,100.00%
16015@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональное училище № 28»,https://gosuslugi29.ru/pgu/department/info.htm?id=16015@egOrganization,0,0,100.00%
16013@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональное училище № 38»,https://gosuslugi29.ru/pgu/department/info.htm?id=16013@egOrganization,0,0,100.00%
22218@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональное училище № 44»,https://gosuslugi29.ru/pgu/department/info.htm?id=22218@egOrganization,0,0,100.00%
16033@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональное училище № 8»,https://gosuslugi29.ru/pgu/department/info.htm?id=16033@egOrganization,0,0,100.00%
16043@egOrganization,Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области «Профессиональный лицей № 31»,https://gosuslugi29.ru/pgu/department/info.htm?id=16043@egOrganization,0,0,100.00%
16020@egOrganization,"Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области ""Вельский экономический техникум""",https://gosuslugi29.ru/pgu/department/info.htm?id=16020@egOrganization,0,0,100.00%
16021@egOrganization,"Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области ""Каргопольский педагогический колледж""",https://gosuslugi29.ru/pgu/department/info.htm?id=16021@egOrganization,0,0,100.00%
16038@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский аграрный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16038@egOrganization,0,0,100.00%
16024@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский индустриально-педагогический колледж»,https://gosuslugi29.ru/pgu/department/info.htm?id=16024@egOrganization,0,0,100.00%
16025@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский педагогический колледж»,https://gosuslugi29.ru/pgu/department/info.htm?id=16025@egOrganization,0,0,100.00%
16042@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский техникум строительства и экономики»,https://gosuslugi29.ru/pgu/department/info.htm?id=16042@egOrganization,0,0,100.00%
16031@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский финансово-промышленный колледж»,https://gosuslugi29.ru/pgu/department/info.htm?id=16031@egOrganization,0,0,100.00%
16017@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Березниковский индустриальный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16017@egOrganization,0,0,100.00%
16027@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Верхнетоемский лесной техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16027@egOrganization,0,0,100.00%
16035@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Каргопольский индустриальный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16035@egOrganization,0,0,100.00%
